cell	umap1	umap2
cell_452	-2.5116425	7.96403
cell_453	-0.46885085	6.083169
cell_454	13.955615	11.401788
cell_455	0.225046	3.6054287
cell_456	-1.3162335	8.925729
cell_457	13.407423	11.078246
cell_458	15.185221	8.037826
cell_459	14.110818	9.04885
cell_46	14.243384	11.962559
cell_460	14.68075	10.844268
cell_461	13.581395	11.899966
cell_462	13.971575	11.443673
cell_463	3.750188	4.1936193
cell_464	-1.1213248	8.417728
cell_465	-0.68566775	4.9145427
cell_466	-0.25027505	8.134498
cell_467	-0.60496706	5.6132026
cell_468	0.3254215	4.3789754
cell_469	-1.306513	7.8950615
cell_47	-0.1341474	4.1665206
cell_470	13.672916	8.639085
cell_471	14.854539	8.737746
cell_472	13.020767	11.560085
cell_473	13.701222	11.499712
cell_474	-0.7093589	4.6660194
cell_475	13.5831175	11.17352
cell_476	-1.7329127	8.014609
cell_477	0.306974	3.585646
cell_478	13.43652	12.042867
cell_479	-1.5239372	8.175294
cell_48	1.0648797	4.4509544
cell_480	-2.5755987	7.5299783
cell_481	13.97321	10.486856
cell_482	3.6145504	4.1376314
cell_483	14.79246	7.8530474
cell_484	-1.4662693	7.2357445
cell_485	14.070648	10.120706
cell_486	14.935869	10.774335
cell_487	-2.6647074	7.946958
cell_488	-1.3332702	6.901745
cell_489	13.930554	10.090933
cell_49	12.986594	10.864779
cell_490	0.7102193	4.5354633
cell_491	14.270034	10.593311
cell_492	-2.9280264	7.570121
cell_493	12.921376	11.925687
cell_494	3.7902577	4.0952272
cell_495	12.579552	11.643895
cell_496	-3.1723938	7.642081
cell_497	14.715207	9.887351
cell_498	-0.8294363	7.64929
cell_499	-0.86626685	6.6459055
cell_5	14.429688	10.722383
cell_50	-0.39607888	6.6825657
cell_500	13.121239	12.062333
cell_501	13.530407	10.42641
cell_502	13.602727	8.43949
cell_503	0.22765945	4.1232214
cell_504	3.5479348	4.062361
cell_505	15.296452	7.9643736
cell_506	-0.65315855	6.723306
cell_507	-0.84331864	7.588162
cell_508	13.873071	10.137481
cell_509	-0.13087597	7.786719
cell_51	-1.0624747	8.075702
cell_510	3.724144	4.1642313
cell_511	-1.1512343	6.543233
cell_512	14.265637	11.845111
cell_513	-2.2602875	8.83659
cell_514	-0.53984076	6.013952
cell_515	12.919288	11.844586
cell_516	-0.23059125	5.2348037
cell_517	-0.5647341	6.0672545
cell_518	14.512506	11.003578
cell_519	-0.3566925	7.3892474
cell_52	-0.3767073	4.6194234
cell_520	14.559166	10.182695
cell_521	15.19749	7.754897
cell_522	4.0040708	4.0357323
cell_523	-0.27877566	4.866696
cell_524	0.11893833	4.943021
cell_525	-2.6889355	7.993635
cell_526	14.501979	10.663828
cell_527	-0.53838676	7.731098
cell_528	15.391586	7.8009996
cell_529	3.5439944	4.325365
cell_53	0.32153797	5.1934786
cell_530	-0.20147736	7.8397593
cell_531	12.864931	10.170678
cell_532	0.30588773	4.354674
cell_533	13.030651	10.89926
cell_54	-0.31133586	7.539888
cell_55	-2.5091212	7.308038
cell_56	12.955152	10.318845
